Heuristics: TotalHeight Bumpiness NumHoles RowsCleared,Fitness Function = rowsCleared, 30 particles 100 iterations
2018-04-11 00:48:11,2018-04-11 00:48:16,1670
2018-04-11 00:48:17,2018-04-11 00:48:20,1105
2018-04-11 00:48:20,2018-04-11 00:48:21,248
2018-04-11 00:48:21,2018-04-11 00:48:23,445
2018-04-11 00:48:23,2018-04-11 00:48:29,1838
2018-04-11 00:48:29,2018-04-11 00:48:29,208
2018-04-11 00:48:29,2018-04-11 00:48:34,1226
2018-04-11 00:48:34,2018-04-11 00:48:38,893
2018-04-11 00:48:38,2018-04-11 00:48:38,252
2018-04-11 00:48:38,2018-04-11 00:48:40,580
2018-04-11 00:48:40,2018-04-11 00:48:41,115
2018-04-11 00:48:41,2018-04-11 00:48:41,207
2018-04-11 00:48:42,2018-04-11 00:48:42,182
2018-04-11 00:48:42,2018-04-11 00:48:45,719
2018-04-11 00:48:45,2018-04-11 00:48:45,192
2018-04-11 00:48:45,2018-04-11 00:48:47,340
2018-04-11 00:48:47,2018-04-11 00:48:47,179
2018-04-11 00:48:47,2018-04-11 00:48:49,540
2018-04-11 00:48:49,2018-04-11 00:48:51,663
2018-04-11 00:48:51,2018-04-11 00:48:57,2001
2018-04-11 00:48:57,2018-04-11 00:48:58,169
2018-04-11 00:48:58,2018-04-11 00:49:01,824
2018-04-11 00:49:01,2018-04-11 00:49:06,1507
2018-04-11 00:49:06,2018-04-11 00:49:07,417
2018-04-11 00:49:07,2018-04-11 00:49:11,995
2018-04-11 00:49:11,2018-04-11 00:49:11,256
2018-04-11 00:49:11,2018-04-11 00:49:12,181
2018-04-11 00:49:12,2018-04-11 00:49:13,276
2018-04-11 00:49:13,2018-04-11 00:49:15,572
2018-04-11 00:49:15,2018-04-11 00:49:15,44
2018-04-11 00:49:15,2018-04-11 00:49:19,1076
2018-04-11 00:49:19,2018-04-11 00:49:19,202
2018-04-11 00:49:19,2018-04-11 00:49:20,141
2018-04-11 00:49:20,2018-04-11 00:49:21,354
2018-04-11 00:49:21,2018-04-11 00:49:22,384
2018-04-11 00:49:22,2018-04-11 00:49:24,392
2018-04-11 00:49:24,2018-04-11 00:49:26,676
2018-04-11 00:49:26,2018-04-11 00:49:30,1448
2018-04-11 00:49:30,2018-04-11 00:49:32,592
2018-04-11 00:49:32,2018-04-11 00:49:36,1027
2018-04-11 00:49:36,2018-04-11 00:49:39,764
2018-04-11 00:49:39,2018-04-11 00:49:39,119
2018-04-11 00:49:39,2018-04-11 00:49:40,398
2018-04-11 00:49:40,2018-04-11 00:49:45,1302
2018-04-11 00:49:45,2018-04-11 00:49:45,41
2018-04-11 00:49:45,2018-04-11 00:49:46,289
2018-04-11 00:49:46,2018-04-11 00:49:47,336
2018-04-11 00:49:47,2018-04-11 00:49:51,1103
2018-04-11 00:49:51,2018-04-11 00:49:53,638
2018-04-11 00:49:53,2018-04-11 00:49:53,152
2018-04-11 00:49:53,2018-04-11 00:50:01,2309
2018-04-11 00:50:01,2018-04-11 00:50:01,81
2018-04-11 00:50:01,2018-04-11 00:50:03,351
2018-04-11 00:50:03,2018-04-11 00:50:03,20
2018-04-11 00:50:03,2018-04-11 00:50:03,218
2018-04-11 00:50:03,2018-04-11 00:50:03,45
2018-04-11 00:50:03,2018-04-11 00:50:06,1191
2018-04-11 00:50:06,2018-04-11 00:50:08,399
2018-04-11 00:50:08,2018-04-11 00:50:10,841
2018-04-11 00:50:10,2018-04-11 00:50:11,64
2018-04-11 00:50:11,2018-04-11 00:50:11,357
2018-04-11 00:50:11,2018-04-11 00:50:15,1192
2018-04-11 00:50:15,2018-04-11 00:50:17,518
2018-04-11 00:50:17,2018-04-11 00:50:18,284
2018-04-11 00:50:18,2018-04-11 00:50:18,214
2018-04-11 00:50:18,2018-04-11 00:50:18,125
2018-04-11 00:50:19,2018-04-11 00:50:23,1628
2018-04-11 00:50:23,2018-04-11 00:50:28,1567
2018-04-11 00:50:28,2018-04-11 00:50:32,1462
2018-04-11 00:50:32,2018-04-11 00:50:33,450
2018-04-11 00:50:33,2018-04-11 00:50:34,121
2018-04-11 00:50:34,2018-04-11 00:50:34,94
2018-04-11 00:50:34,2018-04-11 00:50:35,223
2018-04-11 00:50:35,2018-04-11 00:50:38,1062
2018-04-11 00:50:38,2018-04-11 00:50:41,1102
2018-04-11 00:50:41,2018-04-11 00:50:42,135
2018-04-11 00:50:42,2018-04-11 00:50:44,978
2018-04-11 00:50:44,2018-04-11 00:50:45,118
2018-04-11 00:50:45,2018-04-11 00:50:46,381
2018-04-11 00:50:46,2018-04-11 00:50:47,571
2018-04-11 00:50:48,2018-04-11 00:50:48,315
2018-04-11 00:50:48,2018-04-11 00:50:53,1753
2018-04-11 00:50:53,2018-04-11 00:50:53,63
2018-04-11 00:50:54,2018-04-11 00:50:58,1350
2018-04-11 00:50:58,2018-04-11 00:50:58,304
2018-04-11 00:50:58,2018-04-11 00:50:59,107
2018-04-11 00:50:59,2018-04-11 00:50:59,255
